date,close,volume,open,high,low
03-10-2016,57.42,19156410,57.405,57.55,57.06
30-09-2016,57.6,29877820,57.57,57.77,57.34
29-09-2016,57.4,25389600,57.81,58.1679,57.21
28-09-2016,58.03,20523320,57.88,58.06,57.67
27-09-2016,57.95,28029780,56.93,58.06,56.681
26-09-2016,56.9,21184750,57.08,57.14,56.83
23-09-2016,57.43,19941140,57.87,57.91,57.38
22-09-2016,57.82,19821760,57.92,58,57.63
21-09-2016,57.76,33623490,57.51,57.85,57.08
20-09-2016,56.81,17347740,57.35,57.35,56.75
19-09-2016,56.93,20919450,57.27,57.75,56.85
16-09-2016,57.25,44603890,57.63,57.63,56.75
15-09-2016,57.19,27049520,56.15,57.35,55.98
14-09-2016,56.26,24265700,56.39,56.63,56.03
13-09-2016,56.53,30062330,56.5,56.65,56.05
12-09-2016,57.05,29266780,56,57.205,55.61
09-09-2016,56.21,35026930,56.79,57.52,56.21
08-09-2016,57.43,20109050,57.63,57.79,57.18
07-09-2016,57.66,17484810,57.47,57.84,57.405
06-09-2016,57.61,16264890,57.78,57.8,57.21
02-09-2016,57.67,18897210,57.67,58.19,57.42
01-09-2016,57.59,26053530,57.01,57.82,57.01
31-08-2016,57.46,20844280,57.65,57.8,57.3
30-08-2016,57.89,16900190,57.98,58.19,57.61
29-08-2016,58.1,16388470,58.18,58.6,58.1
26-08-2016,58.03,20935160,58.28,58.7,57.69
25-08-2016,58.17,18551890,57.88,58.29,57.78
24-08-2016,57.95,17118420,57.8,58.04,57.715
23-08-2016,57.89,18722560,57.9,58.18,57.85
22-08-2016,57.67,15215880,57.6,57.75,57.26
19-08-2016,57.62,17271010,57.43,57.73,57.2
18-08-2016,57.6,14211810,57.42,57.7,57.27
17-08-2016,57.56,18798940,57.54,57.68,57.23
16-08-2016,57.44,20452960,57.61,57.62,57.27
15-08-2016,58.12,18764820,58.01,58.5,57.96
12-08-2016,57.94,21646690,58.03,58.19,57.62
11-08-2016,58.3,18161190,58.03,58.45,58.03
10-08-2016,58.02,15702720,58.16,58.32,57.82
09-08-2016,58.2,16891750,58.17,58.5,58.02
08-08-2016,58.06,19459340,58.055,58.085,57.78
05-08-2016,57.96,28804780,57.65,58.21,57.45
04-08-2016,57.39,26485600,56.8,57.5193,56.67
03-08-2016,56.97,22069790,56.68,57.11,56.49
02-08-2016,56.58,35115250,56.85,56.9,56.31
01-08-2016,56.58,26003110,56.6,56.75,56.14
29-07-2016,56.68,30556950,56.26,56.76,56.05
28-07-2016,56.21,37246140,56,56.37,55.72
27-07-2016,56.19,32283520,56.61,56.8,56.11
26-07-2016,56.76,28028820,56.52,57.29,56.51
25-07-2016,56.73,24313330,56.47,56.74,56.255
22-07-2016,56.57,31900840,56.08,56.6275,55.78
